data_type,duration_cnt,dropped_cycles,dropped_cost,totoal_cost
all 1,1000,567,16230,37337
all 1,2000,1141,32680,74864
all 1,3000,1715,49130,112382
all 1,4000,2289,65580,149894
all 1,5000,2863,82030,187406
all 1,6000,3437,98480,224921
all 1,7000,4010,114900,262406
all 1,8000,4583,131320,299900
all 1,9000,5156,147740,337394
all 1,10000,5729,164180,374908
all 1,11000,6302,180610,412406
all 1,12000,6875,197020,449887
all 1,13000,7448,213460,487404
all 1,14000,8021,229900,524912
all 1,15000,8594,246340,562420
all 1,16000,9168,262790,599938
all 1,17000,9742,279240,637453
all 1,18000,10315,295660,674938
all 1,19000,10888,312080,712432
all 1,20000,11461,328500,749926
random,1000,51,590,26413
random,2000,96,1160,52809
random,3000,156,1940,79346
random,4000,210,2610,105821
random,5000,249,3120,132169
random,6000,296,3730,158605
random,7000,341,4290,185003
random,8000,372,4630,211241
random,9000,400,4940,237443
random,10000,437,5370,263747
random,11000,487,6020,290211
random,12000,519,6400,316480
random,13000,570,7100,342961
random,14000,623,7780,369443
random,15000,666,8320,395809
random,16000,713,8890,422220
random,17000,748,9310,448514
random,18000,792,9900,474921
random,19000,826,10310,501208
random,20000,882,11010,527698
all 0.75,1000,255,3960,28757
all 0.75,2000,513,7940,57540
all 0.75,3000,772,11930,86336
all 0.75,4000,1031,15920,115129
all 0.75,5000,1289,19890,143902
all 0.75,6000,1548,23880,172701
all 0.75,7000,1807,27870,201500
all 0.75,8000,2066,31860,230299
all 0.75,9000,2325,35850,259092
all 0.75,10000,2584,39840,287879
all 0.75,11000,2843,43830,316669
all 0.75,12000,3102,47820,345462
all 0.75,13000,3361,51810,374252
all 0.75,14000,3620,55800,403045
all 0.75,15000,3878,59770,431818
all 0.75,16000,4136,63750,460607
all 0.75,17000,4395,67740,489409
all 0.75,18000,4654,71730,518208
all 0.75,19000,4913,75720,547004
all 0.75,20000,5172,79710,575797
all 0.5,1000,0,0,26000
all 0.5,2000,0,0,52000
all 0.5,3000,0,0,78000
all 0.5,4000,0,0,104000
all 0.5,5000,0,0,130000
all 0.5,6000,0,0,156000
all 0.5,7000,0,0,182000
all 0.5,8000,0,0,208000
all 0.5,9000,0,0,234000
all 0.5,10000,0,0,260000
all 0.5,11000,0,0,286000
all 0.5,12000,0,0,312000
all 0.5,13000,0,0,338000
all 0.5,14000,0,0,364000
all 0.5,15000,0,0,390000
all 0.5,16000,0,0,416000
all 0.5,17000,0,0,442000
all 0.5,18000,0,0,468000
all 0.5,19000,0,0,494000
all 0.5,20000,0,0,520000
