data_type,duration_cnt,dropped_cycles,dropped_cost,totoal_cost
all 1,1000,538,13450,35400
all 1,2000,1084,27100,70955
all 1,3000,1630,40750,106510
all 1,4000,2176,54400,142065
all 1,5000,2722,68050,177620
all 1,6000,3267,81650,213125
all 1,7000,3812,95280,248675
all 1,8000,4357,108910,284216
all 1,9000,4902,122540,319757
all 1,10000,5447,136170,355298
all 1,11000,5992,149800,390839
all 1,12000,6538,163450,426400
all 1,13000,7084,177100,461955
all 1,14000,7630,190750,497510
all 1,15000,8176,204400,533065
all 1,16000,8722,218050,568620
all 1,17000,9267,231650,604125
all 1,18000,9812,245280,639675
all 1,19000,10357,258910,675216
all 1,20000,10902,272540,710757
random,1000,30,500,26344
random,2000,64,970,52679
random,3000,110,1600,79111
random,4000,139,1990,105381
random,5000,153,2170,131516
random,6000,174,2460,157719
random,7000,206,3030,184121
random,8000,240,3570,210493
random,9000,270,3960,236760
random,10000,290,4270,262989
random,11000,336,4910,289428
random,12000,357,5140,315595
random,13000,386,5650,341955
random,14000,427,6200,368340
random,15000,463,6740,394709
random,16000,489,7200,421037
random,17000,503,7400,447174
random,18000,534,7780,473443
random,19000,561,8160,499697
random,20000,589,8570,525999
all 0.75,1000,379,6820,30756
all 0.75,2000,764,13750,61613
all 0.75,3000,1149,20680,92470
all 0.75,4000,1534,27610,123321
all 0.75,5000,1919,34540,154172
all 0.75,6000,2304,41470,185023
all 0.75,7000,2689,48400,215874
all 0.75,8000,3074,55330,246725
all 0.75,9000,3459,62260,277576
all 0.75,10000,3843,69170,308398
all 0.75,11000,4227,76080,339235
all 0.75,12000,4611,82990,370072
all 0.75,13000,4995,89900,400909
all 0.75,14000,5379,96820,431756
all 0.75,15000,5764,103750,462613
all 0.75,16000,6149,110680,493470
all 0.75,17000,6534,117610,524321
all 0.75,18000,6919,124540,555172
all 0.75,19000,7304,131470,586023
all 0.75,20000,7689,138400,616874
all 0.5,1000,76,760,26520
all 0.5,2000,153,1530,53065
all 0.5,3000,230,2300,79610
all 0.5,4000,307,3070,106149
all 0.5,5000,384,3840,132688
all 0.5,6000,461,4610,159227
all 0.5,7000,538,5380,185766
all 0.5,8000,615,6150,212305
all 0.5,9000,692,6920,238844
all 0.5,10000,769,7690,265383
all 0.5,11000,846,8460,291922
all 0.5,12000,923,9230,318455
all 0.5,13000,999,9990,344975
all 0.5,14000,1076,10760,371520
all 0.5,15000,1153,11530,398065
all 0.5,16000,1230,12300,424610
all 0.5,17000,1307,13070,451149
all 0.5,18000,1384,13840,477688
all 0.5,19000,1461,14610,504227
all 0.5,20000,1538,15380,530766
