data_type,duration_cnt,dropped_cycles,dropped_cost,totoal_cost
all 1,1000,698,15895,42297
all 1,2000,1405,31995,84757
all 1,3000,2112,48095,127211
all 1,4000,2819,64195,169662
all 1,5000,3525,80290,212108
all 1,6000,4231,96380,254549
all 1,7000,4937,112455,296978
all 1,8000,5643,128520,339403
all 1,9000,6349,144595,381844
all 1,10000,7055,160665,424274
all 1,11000,7761,176760,466732
all 1,12000,8467,192840,509166
all 1,13000,9173,208930,551613
all 1,14000,9879,225020,594057
all 1,15000,10585,241110,636501
all 1,16000,11291,257190,678935
all 1,17000,11997,273285,721387
all 1,18000,12703,289370,763823
all 1,19000,13409,305445,806249
all 1,20000,14115,321515,848679
random,1000,0,0,31874
random,2000,0,0,63715
random,3000,5,45,95766
random,4000,5,45,127922
random,5000,5,45,160000
random,6000,5,45,192045
random,7000,5,45,224114
random,8000,5,45,256033
random,9000,5,45,287973
random,10000,5,45,319913
random,11000,5,45,351970
random,12000,5,45,383922
random,13000,5,45,415859
random,14000,5,45,447610
random,15000,5,45,479559
random,16000,5,45,511490
random,17000,5,45,543556
random,18000,5,45,575673
random,19000,5,45,607664
random,20000,6,50,639693
all 0.75,1000,318,3915,33833
all 0.75,2000,640,7905,67723
all 0.75,3000,961,11890,101608
all 0.75,4000,1282,15875,135496
all 0.75,5000,1603,19860,169384
all 0.75,6000,1925,23850,203280
all 0.75,7000,2247,27840,237170
all 0.75,8000,2569,31830,271063
all 0.75,9000,2890,35815,304945
all 0.75,10000,3211,39780,338813
all 0.75,11000,3532,43765,372707
all 0.75,12000,3854,47755,406600
all 0.75,13000,4176,51745,440493
all 0.75,14000,4498,55735,474380
all 0.75,15000,4820,59725,508270
all 0.75,16000,5142,63715,542160
all 0.75,17000,5464,67705,576050
all 0.75,18000,5785,71675,609923
all 0.75,19000,6107,75665,643825
all 0.75,20000,6429,79655,677718
all 0.5,1000,0,0,32045
all 0.5,2000,0,0,63994
all 0.5,3000,0,0,96009
all 0.5,4000,0,0,127973
all 0.5,5000,0,0,159961
all 0.5,6000,0,0,191946
all 0.5,7000,0,0,223910
all 0.5,8000,0,0,255967
all 0.5,9000,0,0,287934
all 0.5,10000,0,0,319940
all 0.5,11000,0,0,351826
all 0.5,12000,0,0,383883
all 0.5,13000,0,0,415934
all 0.5,14000,0,0,447892
all 0.5,15000,0,0,479943
all 0.5,16000,0,0,511841
all 0.5,17000,0,0,543781
all 0.5,18000,0,0,575658
all 0.5,19000,0,0,607592
all 0.5,20000,0,0,639553
