data_type,duration_cnt,dropped_cycles,dropped_cost,totoal_cost
all 1,1000,76,760,26520
all 1,2000,153,1530,53065
all 1,3000,230,2300,79610
all 1,4000,307,3070,106149
all 1,5000,384,3840,132688
all 1,6000,461,4610,159227
all 1,7000,538,5380,185766
all 1,8000,615,6150,212305
all 1,9000,692,6920,238844
all 1,10000,769,7690,265383
all 1,11000,846,8460,291922
all 1,12000,923,9230,318455
all 1,13000,999,9990,344975
all 1,14000,1076,10760,371520
all 1,15000,1153,11530,398065
all 1,16000,1230,12300,424610
all 1,17000,1307,13070,451149
all 1,18000,1384,13840,477688
all 1,19000,1461,14610,504227
all 1,20000,1538,15380,530766
random,1000,2,20,26014
random,2000,2,20,52014
random,3000,2,20,78014
random,4000,2,20,104014
random,5000,2,20,130008
random,6000,2,20,156014
random,7000,2,20,182014
random,8000,2,20,208014
random,9000,2,20,234014
random,10000,2,20,260014
random,11000,2,20,286014
random,12000,2,20,312014
random,13000,2,20,338014
random,14000,2,20,364014
random,15000,2,20,390014
random,16000,2,20,416014
random,17000,2,20,442014
random,18000,2,20,468014
random,19000,2,20,494014
random,20000,2,20,520014
all 0.75,1000,76,760,26520
all 0.75,2000,153,1530,53065
all 0.75,3000,230,2300,79610
all 0.75,4000,307,3070,106149
all 0.75,5000,384,3840,132688
all 0.75,6000,461,4610,159227
all 0.75,7000,538,5380,185766
all 0.75,8000,615,6150,212305
all 0.75,9000,692,6920,238844
all 0.75,10000,769,7690,265383
all 0.75,11000,846,8460,291922
all 0.75,12000,923,9230,318455
all 0.75,13000,999,9990,344975
all 0.75,14000,1076,10760,371520
all 0.75,15000,1153,11530,398065
all 0.75,16000,1230,12300,424610
all 0.75,17000,1307,13070,451149
all 0.75,18000,1384,13840,477688
all 0.75,19000,1461,14610,504227
all 0.75,20000,1538,15380,530766
all 0.5,1000,76,760,26520
all 0.5,2000,153,1530,53065
all 0.5,3000,230,2300,79610
all 0.5,4000,307,3070,106149
all 0.5,5000,384,3840,132688
all 0.5,6000,461,4610,159227
all 0.5,7000,538,5380,185766
all 0.5,8000,615,6150,212305
all 0.5,9000,692,6920,238844
all 0.5,10000,769,7690,265383
all 0.5,11000,846,8460,291922
all 0.5,12000,923,9230,318455
all 0.5,13000,999,9990,344975
all 0.5,14000,1076,10760,371520
all 0.5,15000,1153,11530,398065
all 0.5,16000,1230,12300,424610
all 0.5,17000,1307,13070,451149
all 0.5,18000,1384,13840,477688
all 0.5,19000,1461,14610,504227
all 0.5,20000,1538,15380,530766
