data_type,duration_cnt,dropped_cycles,dropped_cost,totoal_cost
all 1,1000,14,210,32333
all 1,2000,6,155,64152
all 1,3000,24,330,94959
all 1,4000,17,300,126974
all 1,5000,9,150,158734
all 1,6000,12,220,192775
all 1,7000,21,350,224161
all 1,8000,7,180,257143
all 1,9000,12,235,289612
all 1,10000,4,100,320784
all 1,11000,13,190,353084
all 1,12000,5,105,382422
all 1,13000,8,210,415397
all 1,14000,11,160,449849
all 1,15000,8,150,482130
all 1,16000,10,210,509504
all 1,17000,26,240,541996
all 1,18000,2,40,577093
all 1,19000,17,310,607218
all 1,20000,20,240,641149
random,1000,0,0,31928
random,2000,0,0,64081
random,3000,0,0,96078
random,4000,0,0,127856
random,5000,0,0,160102
random,6000,0,0,191934
random,7000,0,0,224141
random,8000,0,0,256123
random,9000,0,0,287913
random,10000,0,0,320156
random,11000,0,0,351823
random,12000,0,0,383859
random,13000,0,0,416183
random,14000,0,0,448213
random,15000,0,0,479700
random,16000,0,0,511643
random,17000,0,0,543898
random,18000,0,0,575790
random,19000,0,0,607763
random,20000,0,0,639916
all 0.75,1000,0,0,31889
all 0.75,2000,2,30,63622
all 0.75,3000,0,0,95391
all 0.75,4000,1,5,127573
all 0.75,5000,0,0,160348
all 0.75,6000,0,0,191880
all 0.75,7000,0,0,224243
all 0.75,8000,0,0,255685
all 0.75,9000,0,0,288657
all 0.75,10000,0,0,320303
all 0.75,11000,0,0,352411
all 0.75,12000,1,15,385230
all 0.75,13000,0,0,416108
all 0.75,14000,0,0,449227
all 0.75,15000,3,15,480237
all 0.75,16000,1,20,513157
all 0.75,17000,0,0,544423
all 0.75,18000,0,0,576099
all 0.75,19000,0,0,607580
all 0.75,20000,0,0,638671
all 0.5,1000,0,0,31973
all 0.5,2000,0,0,64027
all 0.5,3000,1,10,95992
all 0.5,4000,0,0,128045
all 0.5,5000,2,15,160318
all 0.5,6000,0,0,191046
all 0.5,7000,1,10,224109
all 0.5,8000,0,0,256285
all 0.5,9000,0,0,287124
all 0.5,10000,0,0,319577
all 0.5,11000,0,0,352846
all 0.5,12000,0,0,384033
all 0.5,13000,0,0,416549
all 0.5,14000,0,0,447370
all 0.5,15000,0,0,480672
all 0.5,16000,0,0,511205
all 0.5,17000,1,10,544505
all 0.5,18000,0,0,576576
all 0.5,19000,0,0,608633
all 0.5,20000,1,10,639248
